ID,Title,Company,Location,Date Posted
consultant,Cashier / Waitress,Joefelin Resources,Lagos,PostedPosted 14 days ago
consultant,Microsoft 365 Change & Adoption Specialist (m/w/d),Nexplore AG,Abia,PostedPosted 30+ days ago
consultant,Business development specialist,ValueGate Consulting,Abuja,PostedPosted 30+ days ago
consultant,Gynaecologist/Consultant Family Physician,Jobberman (Third Party Recruitment),Abuja,PostedPosted 30+ days ago
consultant,Human Resource Manager,Excel and Grace Consulting,Rivers,PostedPosted 9 days ago
consultant,Software Developer,Nexus Max Software,Lagos,PostedPosted 9 days ago
consultant,External Consultant - Private Sector Engagement within the Health Sector in Nigeria,RTI International,Nigeria,PostedPosted 30+ days ago
consultant,Deputy Chief of Party/USAID/Nigeria/Healthcare Financing and Human Resources for Health/Forecast,MSH,Nigeria,PostedPosted 26 days ago
consultant,Corporate Sales Executive,JMG,Lagos,PostedPosted 30+ days ago
consultant,Assistant Manager (Human Resources),CADSYNC Consults Limited,Abuja,PostedPosted 15 days ago
consultant,Consulting Manager,ProMatch Consulting,Abuja,PostedPosted 15 days ago
consultant,"Consultant, Change Management",Mastercard Foundation,Lagos,PostedToday
consultant,Admin / Operations Supervisor,Excel and Grace Consulting,Rivers,PostedPosted 7 days ago
consultant,Solution Implementation Lead Consultant - Digital,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,Restaurant Manager,Renard International Hospitality Search...,Lagos,PostedPosted 30+ days ago
consultant,Insurance Sales Consultant,Mango 5,Zamfara,PostedPosted 30+ days ago
consultant,Research Writer (Graduate Trainee),Abroadstudies Educational Limited,Lagos,PostedPosted 30+ days ago
consultant,Project Manager/Software Analyst,Oatek Concept and Technologies ltd,Lagos,PostedPosted 7 days ago
consultant,Deputy Chief of Party/USAID/Nigeria/Healthcare Financing and Human Resources for Health/Forecast,Management Sciences for Health (MSH),Abuja,PostedPosted 27 days ago
consultant,Consultant Pediatrician,DEDA HOSPITAL,Abuja,PostedPosted 14 days ago
consultant,Technical Service Consultants: Capacity Building & Training (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
consultant,Social Media Strategist,Abroadstudies Educational Limited,Lagos,PostedPosted 2 days ago
