ID,Title,Company,Location,Date Posted
engineer,Solar System Engineer,SOLAR PRO ENERGY LTD,Abuja,PostedPosted 21 days ago
engineer,Senior Java Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Software Engineering Manager,PhastMoney,Lagos,PostedPosted 12 days ago
engineer,"Presales Engineer | Lagos, Nigeria",Genese Solution,Lagos,PostedPosted 30+ days ago
engineer,Software Engineer - Siemens PCS7 Specialist,Data2Bots,Lagos,PostedPosted 7 days ago
engineer,"Associate Engineer, Test Manufacturing",Celestica,Lagos,PostedPosted 30+ days ago
engineer,"Engineer II, Quality",Boston Scientific Corporation,Cross River,PostedPosted 7 days ago
engineer,Java Senior Engineering Manager - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,DevOps Engineer,Analytics Intelligence (AI),Lagos,PostedPosted 20 days ago
engineer,Telecom Field Engineer,Global Profilers,Lagos,PostedPosted 8 days ago
engineer,Senior Software Engineer,TreeTop Consulting,Lagos,PostedPosted 30+ days ago
engineer,Solutions Support Engineer,Parkway Projects,Yaba,PostedPosted 30+ days ago
engineer,HSE Supervisory Engineer,FELTON ENERGY SERVICES LIMITED,Lagos,PostedPosted 21 days ago
engineer,IT Sales Engineer,Rimdinado International Ltd,Abuja,PostedPosted 23 days ago
engineer,Devops Engineer,eHealth4everyone,Abuja,PostedPosted 14 days ago
engineer,Electrical Engineer,Powerfield Consulting,Lagos,PostedPosted 28 days ago
engineer,Mid-level Software Engineers,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,"Technical Support Engineer, Port- Harcourt",Main One,Lagos,PostedPosted 27 days ago
engineer,Civil / Structural Engineer,Cozym Process Systems Limieted,Lagos,PostedPosted 7 days ago
engineer,RoadLamp Limited Recruitment for Engineer Trainee (NYSC),RoadLamp Limited,Rivers,PostedPosted 18 days ago
engineer,Civil Engineering Manager,BlockMaster Ltd,Ibadan,PostedPosted 30+ days ago
engineer,Sr Road Design Engineer (Technical Advisor) - Expatriate,Adexen,Nigeria,PostedPosted 30+ days ago
engineer,Chief Electrical Engineer,Worley,Abeokuta,PostedPosted 1 day ago
engineer,"Failure Analysis Engineer, SHS (Lagos, Nigeria)",Sun King,Nigeria,PostedPosted 30+ days ago
engineer,Principal Electrical Engineer - Offshore,Worley,Abeokuta,PostedPosted 2 days ago
engineer,Support Analyst / Quality Assurance Engineer,Choice Talents NG,Lagos,PostedPosted 19 days ago
engineer,Network Engineer,United Geophysical,Lagos,PostedPosted 30+ days ago
engineer,Software Engineer,fonYou,Lagos,PostedPosted 30+ days ago
